,Sureste2,Noreste,Noroeste,Suroeste
Cloudly,0.82,0.85,0.80,0.79
Partly cloudly,0.64,0.56,0.63,0.67
Clear sky,0.79,0.84,0.66,0.77
accuracy,0.76,0.78,0.71,0.75
