,Sureste2,Noreste,Noroeste,Suroeste
Cloudly,0.82,0.85,0.79,0.78
Partly cloudly,0.65,0.61,0.62,0.66
Clear sky,0.76,0.84,0.68,0.76
accuracy,0.76,0.79,0.71,0.73
