,Sureste2,Noreste,Noroeste,Suroeste
Cloudly,0.87,0.87,0.83,0.80
Partly cloudly,0.67,0.64,0.66,0.66
Clear sky,0.86,0.86,0.63,0.79
accuracy,0.81,0.81,0.73,0.75
