,Sureste2,Noreste,Noroeste,Suroeste
Cloudly,0.83,0.87,0.84,0.80
Partly cloudly,0.60,0.62,0.64,0.67
Clear sky,0.82,0.84,0.61,0.78
accuracy,0.77,0.80,0.72,0.75
