,Sureste2,Noreste,Noroeste,Suroeste
Cloudly,0.87,0.88,0.83,0.88
Partly cloudly,0.74,0.67,0.72,0.77
Clear sky,0.86,0.87,0.83,0.83
accuracy,0.83,0.82,0.79,0.83
