,Sureste2,Noreste,Noroeste,Suroeste
Cloudly,0.84,0.84,0.85,0.84
Partly cloudly,0.64,0.56,0.65,0.72
Clear sky,0.82,0.82,0.78,0.83
accuracy,0.78,0.76,0.77,0.80
