,Cloudly,Partly cloudly,Clear sky,accuracy,macro avg,weighted avg
precision,0.4965277777777778,0.0,0.0,0.4965277777777778,0.16550925925925927,0.2465398341049383
recall,1.0,0.0,0.0,0.4965277777777778,0.3333333333333333,0.4965277777777778
f1-score,0.6635730858468678,0.0,0.0,0.4965277777777778,0.2211910286156226,0.32948246970868783
support,143.0,82.0,63.0,0.4965277777777778,288.0,288.0
