,Sureste2,Noreste,Noroeste,Suroeste
Cloudly,0.81,0.89,0.83,0.82
Partly cloudly,0.55,0.63,0.62,0.65
Clear sky,0.69,0.82,0.68,0.75
accuracy,0.71,0.81,0.73,0.74
