Central tendency,Cloudly,Partly cloudly,Clear sky
count,646.0,450.0,259.0
mean,393.4846421631444,242.21776818236606,179.5347444031211
std,128.03508477690235,95.49037371709586,97.98227287517948
min,82.48819292077035,60.25982409240546,22.530251193205665
25%,303.3633309209445,165.1638905305785,99.61604729705343
50%,388.72246914663765,244.90203000006423,165.48050121525344
75%,474.4283414890774,294.73570278543133,231.3393959582306
max,717.0999296343991,544.2283897064068,425.6633645012118
