Central tendency,Cloudly,Partly cloudly,Clear sky
count,646.0,450.0,259.0
mean,0.4089860336700119,0.6059959896950466,0.707342317906889
std,0.15240737831449291,0.1268785348623711,0.09699006523703542
min,0.0,0.11338646876045096,0.4435899002794243
25%,0.3068032777990387,0.5038471616471873,0.6638890336220293
50%,0.418130631780255,0.6352622438019204,0.7134614741379199
75%,0.515117985964414,0.6900261559230063,0.7561857904457501
max,0.7827741119106058,0.9136854402093453,0.9247972533073947
