Central tendency,Cloudly,Partly cloudly,Clear sky
count,646.0,450.0,259.0
mean,0.4228695654561854,0.6677337263641511,0.7509544430486026
std,0.17817924349009742,0.12421114784229682,0.0970990998731221
min,0.0,0.0977564301766221,0.49172152131455904
25%,0.29013452435162157,0.5639163350348654,0.7184332422919115
50%,0.42951715687572267,0.7023903609627941,0.7585566371396699
75%,0.5691905367751218,0.7393792800678652,0.8167935368392449
max,0.852834739879894,0.9149060153798466,0.9513664946146096
