Central tendency,Cloudly,Partly cloudly,Clear sky
count,646.0,450.0,259.0
mean,394.2060807824352,238.5247418324762,185.57851578083026
std,141.59958883910411,104.03386694109908,101.30795541429868
min,84.33846947573443,21.663911896430108,23.55676964457706
25%,292.34536405259405,154.89962310244255,105.42198479125368
50%,385.44661597082177,249.24649379074123,170.96966461818064
75%,483.6483008454629,297.8949846050584,238.77084684557758
max,929.096042196194,503.0628622181327,432.3874578595259
