Central tendency,Cloudly,Partly cloudly,Clear sky
count,646.0,450.0,259.0
mean,0.3087571993182774,0.45101626058961214,0.5234798232098811
std,0.11637973236854213,0.09252325865558954,0.06551217944182883
min,0.0,0.07584910776140094,0.33234209495578915
25%,0.22828510270177324,0.3784619297629064,0.48623991775149644
50%,0.3140472312887551,0.4801840890473892,0.5332938547128152
75%,0.39692752502416784,0.5207231739074704,0.568510541819283
max,0.6075032939045245,0.6322839848668079,0.6823990185603458
