Central tendency,Cloudly,Partly cloudly,Clear sky
count,646.0,450.0,259.0
mean,600.6517494556374,445.6153402449325,383.89405146359815
std,140.7367926589322,112.88865220936063,120.93129168298051
min,244.58454957297073,211.1148955075534,179.37545708360545
25%,504.64536480271335,355.23087159046844,282.47301934811605
50%,597.9018301634237,452.7746413533055,378.0459055992023
75%,691.2299743959952,522.8769005160041,460.3882915692741
max,967.7857158374543,741.4078175495939,664.735454932041
