Central tendency,Cloudly,Partly cloudly,Clear sky
count,646.0,450.0,259.0
mean,0.31920228077366963,0.5008916089197273,0.5675056967582048
std,0.13609266033578063,0.09425851457782254,0.06333170136433351
min,0.0,0.06774885758010751,0.3823477490943741
25%,0.2137833283203186,0.424013080865977,0.5509840681602258
50%,0.32618120806100626,0.5338926572805149,0.5798389397052738
75%,0.42556040004632345,0.5681809679895843,0.6061599471344323
max,0.6284801125460149,0.6867008024047868,0.7047065693192677
