------------------------------------------------------------
		Sky model: GHI	Operation: diff
------------------------------------------------------------
                precision    recall  f1-score   support

       Cloudly       0.77      0.90      0.83       137
Partly cloudly       0.63      0.60      0.62       111
     Clear sky       0.79      0.59      0.68        71

      accuracy                           0.73       319
     macro avg       0.73      0.70      0.71       319
  weighted avg       0.73      0.73      0.72       319
