Dates,500nm
2015-10-13,0.162
2015-10-14,0.138
2015-10-15,0.229
2015-10-16,0.162
2015-10-17,0.162
2015-10-18,0.162
2015-10-19,0.091
2015-10-20,0.162
2015-10-21,0.09
2015-10-22,0.344
2015-10-23,0.162
2015-10-24,0.162
2015-10-25,0.166
2015-10-26,0.073
2015-10-27,0.162
2015-10-28,0.117
2015-10-29,0.162
2015-10-30,0.162
2015-10-31,0.162
2015-11-01,0.163
2015-11-02,0.09
2015-11-03,0.142
2015-11-04,0.142
2015-11-05,0.142
2015-11-06,0.142
2015-11-07,0.142
2015-11-08,0.142
2015-11-09,0.135
2015-11-10,0.149
2015-11-11,0.063
2015-11-12,0.142
2015-11-13,0.142
2015-11-14,0.142
2015-11-15,0.142
2015-11-16,0.208
2015-11-17,0.266
2015-11-18,0.093
2015-11-19,0.142
2015-11-20,0.108
2015-11-21,0.142
2015-11-22,0.054
2015-11-23,0.202
2015-11-24,0.203
2015-11-25,0.176
2015-11-26,0.146
2015-11-27,0.142
2015-11-28,0.142
2015-11-29,0.073
2015-11-30,0.142
2015-12-01,0.129
2015-12-02,0.109
2015-12-03,0.074
2015-12-04,0.064
2015-12-05,0.109
2015-12-06,0.082
2015-12-07,0.109
2015-12-08,0.064
2015-12-09,0.183
2015-12-10,0.081
2015-12-11,0.21
2015-12-12,0.109
2015-12-13,0.049
2015-12-14,0.109
2015-12-15,0.034
2015-12-16,0.071
2015-12-17,0.184
2015-12-18,0.189
2015-12-19,0.075
2015-12-20,0.109
2015-12-21,0.109
2015-12-22,0.089
2015-12-23,0.109
2015-12-24,0.036
2015-12-25,0.225
2015-12-26,0.109
2015-12-27,0.172
2015-12-28,0.123
2015-12-29,0.053
2015-12-30,0.109
2015-12-31,0.109
2016-01-01,0.107
2016-01-02,0.107
2016-01-03,0.107
2016-01-04,0.107
2016-01-05,0.048
2016-01-06,0.107
2016-01-07,0.036
2016-01-08,0.107
2016-01-09,0.097
2016-01-10,0.231
2016-01-11,0.155
2016-01-12,0.109
2016-01-13,0.107
2016-01-14,0.088
2016-01-15,0.107
2016-01-16,0.016
2016-01-17,0.107
2016-01-18,0.08
2016-01-19,0.136
2016-01-20,0.132
2016-01-21,0.072
2016-01-22,0.107
2016-01-23,0.033
2016-01-24,0.107
2016-01-25,0.09
2016-01-26,0.171
2016-01-27,0.107
2016-01-28,0.072
2016-01-29,0.276
2016-01-30,0.08
2016-01-31,0.107
2016-02-01,0.049
2016-02-02,0.336
2016-02-03,0.092
2016-02-04,0.193
2016-02-05,0.168
2016-02-06,0.09
2016-02-07,0.193
2016-02-08,0.193
2016-02-09,0.193
2016-02-10,0.073
2016-02-11,0.279
2016-02-12,0.167
2016-02-13,0.177
2016-02-14,0.193
2016-02-15,0.079
2016-02-16,0.193
2016-02-17,0.097
2016-02-18,0.487
2016-02-19,0.122
2016-02-20,0.344
2016-02-21,0.193
2016-02-22,0.176
2016-02-23,0.193
2016-02-24,0.089
2016-02-25,0.193
2016-02-26,0.134
2016-02-27,0.519
2016-02-28,0.195
2016-03-01,0.218
2016-03-02,0.266
2016-03-03,0.155
2016-03-04,0.252
2016-03-05,0.131
2016-03-06,0.882
2016-03-07,0.252
2016-03-08,0.252
2016-03-09,0.252
2016-03-10,0.252
2016-03-11,0.252
2016-03-12,0.252
2016-03-13,0.252
2016-03-14,0.042
2016-03-15,0.355
2016-03-16,0.278
2016-03-17,0.252
2016-03-18,0.361
2016-03-19,0.149
2016-03-20,0.252
2016-03-21,0.252
2016-03-22,0.28
2016-03-23,0.11
2016-03-24,0.25
2016-03-25,0.229
2016-03-26,0.191
2016-03-27,0.26
2016-03-28,0.139
2016-03-29,0.252
2016-03-30,0.234
2016-03-31,0.252
2016-04-01,0.143
2016-04-02,0.203
2016-04-03,0.353
2016-04-04,0.106
2016-04-05,0.239
2016-04-06,0.111
2016-04-07,0.299
2016-04-08,0.299
2016-04-09,0.299
2016-04-10,0.33
2016-04-11,0.299
2016-04-12,0.709
2016-04-13,0.134
2016-04-14,0.299
2016-04-15,0.316
2016-04-16,0.484
2016-04-17,0.316
2016-04-18,0.303
2016-04-19,0.46
2016-04-20,0.194
2016-04-21,0.299
2016-04-22,0.303
2016-04-23,0.696
2016-04-24,0.299
2016-04-25,0.262
2016-04-26,0.208
2016-04-27,0.19
2016-04-28,0.378
2016-04-29,0.145
2016-04-30,0.299
2016-05-01,0.243
2016-05-02,0.473
2016-05-03,0.264
2016-05-04,0.18
2016-05-05,0.275
2016-05-06,0.123
2016-05-07,0.149
2016-05-08,0.185
2016-05-09,0.264
2016-05-10,0.104
2016-05-11,0.264
2016-05-12,0.245
2016-05-13,0.264
2016-05-14,0.264
2016-05-15,0.264
2016-05-16,0.264
2016-05-17,0.064
2016-05-18,0.392
2016-05-19,0.264
2016-05-20,0.298
2016-05-21,0.414
2016-05-22,0.119
2016-05-23,0.264
2016-05-24,0.264
2016-05-25,0.466
2016-05-26,0.264
2016-05-27,0.379
2016-05-28,0.238
2016-05-29,0.407
2016-05-30,0.264
2016-05-31,0.264
2016-06-01,0.298
2016-06-02,0.298
2016-06-03,0.298
2016-06-04,0.298
2016-06-05,0.298
2016-06-06,0.298
2016-06-07,0.298
2016-06-08,0.298
2016-06-09,0.298
2016-06-10,0.298
2016-06-11,0.298
2016-06-12,0.298
2016-06-13,0.298
2016-06-14,0.298
2016-06-15,0.336
2016-06-16,0.134
2016-06-17,0.298
2016-06-18,0.161
2016-06-19,0.515
2016-06-20,0.298
2016-06-21,0.298
2016-06-22,0.348
2016-06-23,0.146
2016-06-24,0.339
2016-06-25,0.15
2016-06-26,0.69
2016-06-27,0.298
2016-06-28,0.298
2016-06-29,0.19
2016-06-30,0.273
2016-07-01,0.223
2016-07-02,0.15
2016-07-03,0.283
2016-07-04,0.193
2016-07-05,0.336
2016-07-06,0.165
2016-07-07,0.275
2016-07-08,0.359
2016-07-09,0.219
2016-07-10,0.348
2016-07-11,0.283
2016-07-12,0.283
2016-07-13,0.163
2016-07-14,0.283
2016-07-15,0.232
2016-07-16,0.244
2016-07-17,0.38
2016-07-18,0.261
2016-07-19,0.283
2016-07-20,0.157
2016-07-21,0.444
2016-07-22,0.283
2016-07-23,0.362
2016-07-24,0.375
2016-07-25,0.21
2016-07-26,0.33
2016-07-27,0.283
2016-07-28,0.283
2016-07-29,0.283
2016-07-30,0.52
2016-07-31,0.283
2016-08-01,0.229
2016-08-02,0.406
2016-08-03,0.158
2016-08-04,0.286
2016-08-05,0.286
2016-08-06,0.639
2016-08-07,0.286
2016-08-08,0.242
2016-08-09,0.212
2016-08-10,0.226
2016-08-11,0.319
2016-08-12,0.157
2016-08-13,0.543
2016-08-14,0.286
2016-08-15,0.286
2016-08-16,0.286
2016-08-17,0.286
2016-08-18,0.326
2016-08-19,0.228
2016-08-20,0.286
2016-08-21,0.286
2016-08-22,0.286
2016-08-23,0.181
2016-08-24,0.251
2016-08-25,0.274
2016-08-26,0.155
2016-08-27,0.438
2016-08-28,0.158
2016-08-29,0.286
2016-08-30,0.286
2016-08-31,0.286
2016-09-01,0.279
2016-09-02,0.279
2016-09-03,0.279
2016-09-04,0.279
2016-09-05,0.279
2016-09-06,0.279
2016-09-07,0.492
2016-09-08,0.215
2016-09-09,0.213
2016-09-10,0.362
2016-09-11,0.206
2016-09-12,0.364
2016-09-13,0.279
2016-09-14,0.275
2016-09-15,0.279
2016-09-16,0.279
2016-09-17,0.279
2016-09-18,0.239
2016-09-19,0.279
2016-09-20,0.177
2016-09-21,0.279
2016-09-22,0.148
2016-09-23,0.4
2016-09-24,0.279
2016-09-25,0.26
2016-09-26,0.279
2016-09-27,0.279
2016-09-28,0.279
2016-09-29,0.279
2016-09-30,0.279
2016-10-01,0.154
2016-10-02,0.154
2016-10-03,0.154
2016-10-04,0.113
2016-10-05,0.154
2016-10-06,0.142
2016-10-07,0.154
2016-10-08,0.154
2016-10-09,0.154
2016-10-10,0.154
2016-10-11,0.288
2016-10-12,0.136
2016-10-13,0.066
2016-10-14,0.154
2016-10-15,0.098
2016-10-16,0.234
2016-10-17,0.099
2016-10-18,0.154
2016-10-19,0.134
2016-10-20,0.175
2016-10-21,0.154
2016-10-22,0.085
2016-10-23,0.154
2016-10-24,0.154
2016-10-25,0.295
2016-10-26,0.154
2016-10-27,0.236
2016-10-28,0.211
2016-10-29,0.087
2016-10-30,0.154
2016-10-31,0.069
2016-11-01,0.433
2016-11-02,0.106
2016-11-03,0.281
2016-11-04,0.14
2016-11-05,0.14
2016-11-06,0.14
2016-11-07,0.14
2016-11-08,0.14
2016-11-09,0.14
2016-11-10,0.14
2016-11-11,0.14
2016-11-12,0.14
2016-11-13,0.14
2016-11-14,0.14
2016-11-15,0.14
2016-11-16,0.062
2016-11-17,0.14
2016-11-18,0.084
2016-11-19,0.14
2016-11-20,0.114
2016-11-21,0.086
2016-11-22,0.14
2016-11-23,0.081
2016-11-24,0.14
2016-11-25,0.08
2016-11-26,0.238
2016-11-27,0.087
2016-11-28,0.099
2016-11-29,0.132
2016-11-30,0.083
2016-12-01,0.109
2016-12-02,0.032
2016-12-03,0.109
2016-12-04,0.109
2016-12-05,0.109
2016-12-06,0.094
2016-12-07,0.077
2016-12-08,0.109
2016-12-09,0.109
2016-12-10,0.109
2016-12-11,0.102
2016-12-12,0.179
2016-12-13,0.078
2016-12-14,0.069
2016-12-15,0.109
2016-12-16,0.053
2016-12-17,0.109
2016-12-18,0.052
2016-12-19,0.109
2016-12-20,0.109
2016-12-21,0.109
2016-12-22,0.129
2016-12-23,0.074
2016-12-24,0.109
2016-12-25,0.08
2016-12-26,0.109
2016-12-27,0.109
2016-12-28,0.307
2016-12-29,0.214
2016-12-30,0.109
2016-12-31,0.093
2017-01-01,0.119
2017-01-02,0.019
2017-01-03,0.119
2017-01-04,0.124
2017-01-05,0.111
2017-01-06,0.116
2017-01-07,0.08
2017-01-08,0.119
2017-01-09,0.025
2017-01-10,0.119
2017-01-11,0.041
2017-01-12,0.278
2017-01-13,0.119
2017-01-14,0.119
2017-01-15,0.132
2017-01-16,0.119
2017-01-17,0.119
2017-01-18,0.119
2017-01-19,0.144
2017-01-20,0.168
2017-01-21,0.119
2017-01-22,0.119
2017-01-23,0.221
2017-01-24,0.119
2017-01-25,0.121
2017-01-26,0.119
2017-01-27,0.07
2017-01-28,0.119
2017-01-29,0.119
2017-01-30,0.134
2017-01-31,0.119
2017-02-01,0.133
2017-02-02,0.141
2017-02-03,0.115
2017-02-04,0.141
2017-02-05,0.121
2017-02-06,0.192
2017-02-07,0.133
2017-02-08,0.106
2017-02-09,0.141
2017-02-10,0.057
2017-02-11,0.141
2017-02-12,0.106
2017-02-13,0.405
2017-02-14,0.133
2017-02-15,0.16
2017-02-16,0.141
2017-02-17,0.073
2017-02-18,0.141
2017-02-19,0.141
2017-02-20,0.167
2017-02-21,0.124
2017-02-22,0.141
2017-02-23,0.141
2017-02-24,0.115
2017-02-25,0.141
2017-02-26,0.098
2017-02-27,0.141
2017-02-28,0.167
2017-03-01,0.248
2017-03-02,0.22
2017-03-03,0.22
2017-03-04,0.22
2017-03-05,0.1
2017-03-06,0.196
2017-03-07,0.22
2017-03-08,0.354
2017-03-09,0.22
2017-03-10,0.369
2017-03-11,0.22
2017-03-12,0.22
2017-03-13,0.22
2017-03-14,0.22
2017-03-15,0.22
2017-03-16,0.22
2017-03-17,0.306
2017-03-18,0.168
2017-03-19,0.207
2017-03-20,0.237
2017-03-21,0.102
2017-03-22,0.22
2017-03-23,0.157
2017-03-24,0.327
2017-03-25,0.154
2017-03-26,0.22
2017-03-27,0.238
2017-03-28,0.167
2017-03-29,0.358
2017-03-30,0.056
2017-03-31,0.22
2017-04-01,0.147
2017-04-02,0.37
2017-04-03,0.125
2017-04-04,0.223
2017-04-05,0.293
2017-04-06,0.15
2017-04-07,0.268
2017-04-08,0.1
2017-04-09,0.583
2017-04-10,0.191
2017-04-11,0.268
2017-04-12,0.313
2017-04-13,0.293
2017-04-14,0.268
2017-04-15,0.268
2017-04-16,0.268
2017-04-17,0.268
2017-04-18,0.327
2017-04-19,0.253
2017-04-20,0.243
2017-04-21,0.311
2017-04-22,0.128
2017-04-23,0.178
2017-04-24,0.244
2017-04-25,0.678
2017-04-26,0.197
2017-04-27,0.268
2017-04-28,0.251
2017-04-29,0.258
2017-04-30,0.303
2017-05-01,0.08
2017-05-02,0.274
2017-05-03,0.192
2017-05-04,0.383
2017-05-05,0.135
2017-05-06,0.283
2017-05-07,0.618
2017-05-08,0.274
2017-05-09,0.274
2017-05-10,0.274
2017-05-11,0.421
2017-05-12,0.161
2017-05-13,0.383
2017-05-14,0.201
2017-05-15,0.244
2017-05-16,0.344
2017-05-17,0.186
2017-05-18,0.274
2017-05-19,0.258
2017-05-20,0.274
2017-05-21,0.108
2017-05-22,0.274
2017-05-23,0.274
2017-05-24,0.151
2017-05-25,0.274
2017-05-26,0.212
2017-05-27,0.663
2017-05-28,0.295
2017-05-29,0.274
2017-05-30,0.274
2017-05-31,0.155
2017-06-01,0.26
2017-06-02,0.26
2017-06-03,0.26
2017-06-04,0.26
2017-06-05,0.42
2017-06-06,0.182
2017-06-07,0.227
2017-06-08,0.15
2017-06-09,0.195
2017-06-10,0.26
2017-06-11,0.173
2017-06-12,0.462
2017-06-13,0.211
2017-06-14,0.337
2017-06-15,0.22
2017-06-16,0.143
2017-06-17,0.228
2017-06-18,0.124
2017-06-19,0.26
2017-06-20,0.26
2017-06-21,0.417
2017-06-22,0.125
2017-06-23,0.226
2017-06-24,0.63
2017-06-25,0.26
2017-06-26,0.26
2017-06-27,0.26
2017-06-28,0.302
2017-06-29,0.16
2017-06-30,0.26
2017-07-01,0.305
2017-07-02,0.279
2017-07-03,0.246
2017-07-04,0.187
2017-07-05,0.316
2017-07-06,0.316
2017-07-07,0.625
2017-07-08,0.316
2017-07-09,0.331
2017-07-10,0.314
2017-07-11,0.32
2017-07-12,0.316
2017-07-13,0.316
2017-07-14,0.374
2017-07-15,0.231
2017-07-16,0.36
2017-07-17,0.316
2017-07-18,0.339
2017-07-19,0.299
2017-07-20,0.184
2017-07-21,0.316
2017-07-22,0.116
2017-07-23,0.454
2017-07-24,0.244
2017-07-25,0.405
2017-07-26,0.251
2017-07-27,0.234
2017-07-28,0.329
2017-07-29,0.089
2017-07-30,0.743
2017-07-31,0.316
2017-08-01,0.292
2017-08-02,0.292
2017-08-03,0.292
2017-08-04,0.414
2017-08-05,0.237
2017-08-06,0.292
2017-08-07,0.157
2017-08-08,0.634
2017-08-09,0.292
2017-08-10,0.451
2017-08-11,0.301
2017-08-12,0.157
2017-08-13,0.361
2017-08-14,0.181
2017-08-15,0.351
2017-08-16,0.143
2017-08-17,0.419
2017-08-18,0.232
2017-08-19,0.31
2017-08-20,0.419
2017-08-21,0.199
2017-08-22,0.292
2017-08-23,0.292
2017-08-24,0.292
2017-08-25,0.292
2017-08-26,0.292
2017-08-27,0.262
2017-08-28,0.292
2017-08-29,0.292
2017-08-30,0.08
2017-08-31,0.247
2017-09-01,0.296
2017-09-02,0.296
2017-09-03,0.296
2017-09-04,0.296
2017-09-05,0.296
2017-09-06,0.296
2017-09-07,0.296
2017-09-08,0.172
2017-09-09,0.296
2017-09-10,0.237
2017-09-11,0.327
2017-09-12,0.338
2017-09-13,0.311
2017-09-14,0.374
2017-09-15,0.206
2017-09-16,0.362
2017-09-17,0.296
2017-09-18,0.296
2017-09-19,0.296
2017-09-20,0.295
2017-09-21,0.334
2017-09-22,0.296
2017-09-23,0.296
2017-09-24,0.296
2017-09-25,0.296
2017-09-26,0.296
2017-09-27,0.296
2017-09-28,0.296
2017-09-29,0.296
2017-09-30,0.296
2017-10-01,0.168
2017-10-02,0.417
2017-10-03,0.168
2017-10-04,0.168
2017-10-05,0.168
2017-10-06,0.198
2017-10-07,0.168
2017-10-08,0.094
2017-10-09,0.168
2017-10-10,0.168
2017-10-11,0.335
2017-10-12,0.154
2017-10-13,0.175
2017-10-14,0.287
2017-10-15,0.169
2017-10-16,0.168
2017-10-17,0.048
2017-10-18,0.185
2017-10-19,0.152
2017-10-20,0.226
2017-10-21,0.159
2017-10-22,0.168
2017-10-23,0.168
2017-10-24,0.099
2017-10-25,0.168
2017-10-26,0.062
2017-10-27,0.216
2017-10-28,0.151
2017-10-29,0.115
2017-10-30,0.039
2017-10-31,0.075
2017-11-01,0.143
2017-11-02,0.063
2017-11-03,0.348
2017-11-04,0.109
2017-11-05,0.143
2017-11-06,0.176
2017-11-07,0.095
2017-11-08,0.143
2017-11-09,0.095
2017-11-10,0.143
2017-11-11,0.125
2017-11-12,0.209
2017-11-13,0.143
2017-11-14,0.149
2017-11-15,0.12
2017-11-16,0.096
2017-11-17,0.143
2017-11-18,0.047
2017-11-19,0.278
2017-11-20,0.153
2017-11-21,0.166
2017-11-22,0.201
2017-11-23,0.102
2017-11-24,0.143
2017-11-25,0.049
2017-11-26,0.143
2017-11-27,0.068
2017-11-28,0.294
2017-11-29,0.091
2017-11-30,0.112
2017-12-01,0.714
2017-12-02,0.085
2017-12-03,0.213
2017-12-04,0.067
2017-12-05,0.588
2017-12-06,0.213
2017-12-07,0.213
2017-12-08,0.183
2017-12-09,0.072
2017-12-10,0.213
2017-12-11,0.213
2017-12-12,0.213
2017-12-13,0.056
2017-12-14,0.213
2017-12-15,0.213
2017-12-16,0.213
2017-12-17,0.193
2017-12-18,0.045
2017-12-19,0.213
2017-12-20,0.071
2017-12-21,0.481
2017-12-22,0.213
2017-12-23,0.179
2017-12-24,0.144
2017-12-25,0.101
2017-12-26,0.213
2017-12-27,0.099
2017-12-28,0.213
2017-12-29,0.213
2017-12-30,0.335
2017-12-31,0.213
2018-01-01,0.145
2018-01-02,0.145
2018-01-03,0.056
2018-01-04,0.145
2018-01-05,0.051
2018-01-06,0.513
2018-01-07,0.225
2018-01-08,0.145
2018-01-09,0.127
2018-01-10,0.08
2018-01-11,0.145
2018-01-12,0.035
2018-01-13,0.145
2018-01-14,0.07
2018-01-15,0.242
2018-01-16,0.167
2018-01-17,0.145
2018-01-18,0.145
2018-01-19,0.101
2018-01-20,0.145
2018-01-21,0.087
2018-01-22,0.145
2018-01-23,0.145
2018-01-24,0.17
2018-01-25,0.153
2018-01-26,0.051
2018-01-27,0.145
2018-01-28,0.145
2018-01-29,0.145
2018-01-30,0.08
2018-01-31,0.259
2018-02-01,0.068
2018-02-02,0.238
2018-02-03,0.238
2018-02-04,0.131
2018-02-05,0.238
2018-02-06,0.238
2018-02-07,0.238
2018-02-08,0.238
2018-02-09,0.238
2018-02-10,0.114
2018-02-11,0.193
2018-02-12,0.238
2018-02-13,0.238
2018-02-14,0.238
2018-02-15,0.102
2018-02-16,0.318
2018-02-17,0.508
2018-02-18,0.206
2018-02-19,0.238
2018-02-20,0.238
2018-02-21,0.238
2018-02-22,0.238
2018-02-23,0.507
2018-02-24,0.238
2018-02-25,0.21
2018-02-26,0.238
2018-02-27,0.262
2018-02-28,0.238
2018-03-01,0.095
2018-03-02,0.176
2018-03-03,0.097
2018-03-04,0.37
2018-03-05,0.14
2018-03-06,0.176
2018-03-07,0.16
2018-03-08,0.115
2018-03-09,0.176
2018-03-10,0.053
2018-03-11,0.129
2018-03-12,0.176
2018-03-13,0.176
2018-03-14,0.176
2018-03-15,0.163
2018-03-16,0.176
2018-03-17,0.107
2018-03-18,0.176
2018-03-19,0.073
2018-03-20,0.373
2018-03-21,0.232
2018-03-22,0.165
2018-03-23,0.176
2018-03-24,0.16
2018-03-25,0.176
2018-03-26,0.133
2018-03-27,0.404
2018-03-28,0.176
2018-03-29,0.228
2018-03-30,0.177
2018-03-31,0.141
2018-04-01,0.233
2018-04-02,0.136
2018-04-03,0.233
2018-04-04,0.233
2018-04-05,0.305
2018-04-06,0.181
2018-04-07,0.214
2018-04-08,0.357
2018-04-09,0.177
2018-04-10,0.233
2018-04-11,0.215
2018-04-12,0.233
2018-04-13,0.15
2018-04-14,0.233
2018-04-15,0.199
2018-04-16,0.16
2018-04-17,0.291
2018-04-18,0.205
2018-04-19,0.233
2018-04-20,0.233
2018-04-21,0.381
2018-04-22,0.171
2018-04-23,0.331
2018-04-24,0.233
2018-04-25,0.233
2018-04-26,0.233
2018-04-27,0.233
2018-04-28,0.233
2018-04-29,0.233
2018-04-30,0.255
2018-05-01,0.229
2018-05-02,0.292
2018-05-03,0.262
2018-05-04,0.266
2018-05-05,0.266
2018-05-06,0.169
2018-05-07,0.475
2018-05-08,0.172
2018-05-09,0.227
2018-05-10,0.352
2018-05-11,0.165
2018-05-12,0.266
2018-05-13,0.266
2018-05-14,0.336
2018-05-15,0.266
2018-05-16,0.266
2018-05-17,0.191
2018-05-18,0.178
2018-05-19,0.302
2018-05-20,0.24
2018-05-21,0.266
2018-05-22,0.228
2018-05-23,0.486
2018-05-24,0.258
2018-05-25,0.253
2018-05-26,0.185
2018-05-27,0.152
2018-05-28,0.266
2018-05-29,0.152
2018-05-30,0.567
2018-05-31,0.254
2018-06-01,0.5
2018-06-02,0.191
2018-06-03,0.217
2018-06-04,0.233
2018-06-05,0.074
2018-06-06,0.233
2018-06-07,0.195
2018-06-08,0.411
2018-06-09,0.233
2018-06-10,0.223
2018-06-11,0.285
2018-06-12,0.233
2018-06-13,0.233
2018-06-14,0.171
2018-06-15,0.233
2018-06-16,0.233
2018-06-17,0.233
2018-06-18,0.233
2018-06-19,0.233
2018-06-20,0.233
2018-06-21,0.233
2018-06-22,0.233
2018-06-23,0.151
2018-06-24,0.365
2018-06-25,0.233
