Dates,500nm
2015-01-01,0.135
2015-01-02,0.135
2015-01-03,0.135
2015-01-04,0.135
2015-01-05,0.135
2015-01-06,0.135
2015-01-07,0.135
2015-01-08,0.246
2015-01-09,0.135
2015-01-10,0.135
2015-01-11,0.072
2015-01-12,0.135
2015-01-13,0.135
2015-01-14,0.135
2015-01-15,0.135
2015-01-16,0.135
2015-01-17,0.135
2015-01-18,0.13
2015-01-19,0.135
2015-01-20,0.03
2015-01-21,0.135
2015-01-22,0.135
2015-01-23,0.305
2015-01-24,0.175
2015-01-25,0.135
2015-01-26,0.135
2015-01-27,0.069
2015-01-28,0.135
2015-01-29,0.055
2015-01-30,0.135
2015-01-31,0.135
2015-02-01,0.163
2015-02-02,0.163
2015-02-03,0.163
2015-02-04,0.164
2015-02-05,0.163
2015-02-06,0.163
2015-02-07,0.075
2015-02-08,0.268
2015-02-09,0.112
2015-02-10,0.156
2015-02-11,0.168
2015-02-12,0.163
2015-02-13,0.163
2015-02-14,0.163
2015-02-15,0.163
2015-02-16,0.163
2015-02-17,0.163
2015-02-18,0.181
2015-02-19,0.141
2015-02-20,0.163
2015-02-21,0.047
2015-02-22,0.163
2015-02-23,0.163
2015-02-24,0.326
2015-02-25,0.264
2015-02-26,0.174
2015-02-27,0.163
2015-02-28,0.037
2015-03-01,0.189
2015-03-02,0.068
2015-03-03,0.279
2015-03-04,0.105
2015-03-05,0.189
2015-03-06,0.189
2015-03-07,0.189
2015-03-08,0.189
2015-03-09,0.122
2015-03-10,0.189
2015-03-11,0.189
2015-03-12,0.2
2015-03-13,0.189
2015-03-14,0.189
2015-03-15,0.189
2015-03-16,0.189
2015-03-17,0.189
2015-03-18,0.189
2015-03-19,0.239
2015-03-20,0.189
2015-03-21,0.189
2015-03-22,0.187
2015-03-23,0.162
2015-03-24,0.275
2015-03-25,0.076
2015-03-26,0.189
2015-03-27,0.144
2015-03-28,0.341
2015-03-29,0.149
2015-03-30,0.142
2015-03-31,0.342
2015-04-01,0.119
2015-04-02,0.117
2015-04-03,0.133
2015-04-04,0.236
2015-04-05,0.236
2015-04-06,0.227
2015-04-07,0.236
2015-04-08,0.236
2015-04-09,0.243
2015-04-10,0.236
2015-04-11,0.236
2015-04-12,0.236
2015-04-13,0.333
2015-04-14,0.236
2015-04-15,0.236
2015-04-16,0.25
2015-04-17,0.236
2015-04-18,0.271
2015-04-19,0.107
2015-04-20,0.37
2015-04-21,0.198
2015-04-22,0.236
2015-04-23,0.572
2015-04-24,0.218
2015-04-25,0.321
2015-04-26,0.236
2015-04-27,0.236
2015-04-28,0.125
2015-04-29,0.312
2015-04-30,0.103
2015-05-01,0.231
2015-05-02,0.192
2015-05-03,0.199
2015-05-04,0.242
2015-05-05,0.242
2015-05-06,0.473
2015-05-07,0.242
2015-05-08,0.287
2015-05-09,0.23
2015-05-10,0.242
2015-05-11,0.242
2015-05-12,0.242
2015-05-13,0.242
2015-05-14,0.242
2015-05-15,0.265
2015-05-16,0.187
2015-05-17,0.219
2015-05-18,0.242
2015-05-19,0.245
2015-05-20,0.242
2015-05-21,0.242
2015-05-22,0.282
2015-05-23,0.242
2015-05-24,0.242
2015-05-25,0.177
2015-05-26,0.168
2015-05-27,0.242
2015-05-28,0.242
2015-05-29,0.242
2015-05-30,0.242
2015-05-31,0.234
2015-06-01,0.074
2015-06-02,0.253
2015-06-03,0.183
2015-06-04,0.27
2015-06-05,0.288
2015-06-06,0.288
2015-06-07,0.825
2015-06-08,0.288
2015-06-09,0.505
2015-06-10,0.243
2015-06-11,0.207
2015-06-12,0.252
2015-06-13,0.299
2015-06-14,0.288
2015-06-15,0.288
2015-06-16,0.288
2015-06-17,0.288
2015-06-18,0.288
2015-06-19,0.288
2015-06-20,0.192
2015-06-21,0.288
2015-06-22,0.288
2015-06-23,0.288
2015-06-24,0.334
2015-06-25,0.288
2015-06-26,0.146
2015-06-27,0.288
2015-06-28,0.288
2015-06-29,0.246
2015-06-30,0.288
2015-07-01,0.282
2015-07-02,0.282
2015-07-03,0.282
2015-07-04,0.282
2015-07-05,0.328
2015-07-06,0.263
2015-07-07,0.303
2015-07-08,0.282
2015-07-09,0.908
2015-07-10,0.171
2015-07-11,0.374
2015-07-12,0.225
2015-07-13,0.177
2015-07-14,0.272
2015-07-15,0.123
2015-07-16,0.282
2015-07-17,0.164
2015-07-18,0.361
2015-07-19,0.112
2015-07-20,0.303
2015-07-21,0.292
2015-07-22,0.248
2015-07-23,0.288
2015-07-24,0.282
2015-07-25,0.309
2015-07-26,0.15
2015-07-27,0.282
2015-07-28,0.241
2015-07-29,0.217
2015-07-30,0.369
2015-07-31,0.282
2015-08-01,0.284
2015-08-02,0.125
2015-08-03,0.317
2015-08-04,0.244
2015-08-05,0.302
2015-08-06,0.212
2015-08-07,0.155
2015-08-08,0.282
2015-08-09,0.146
2015-08-10,0.376
2015-08-11,0.126
2015-08-12,0.599
2015-08-13,0.246
2015-08-14,0.339
2015-08-15,0.284
2015-08-16,0.284
2015-08-17,0.284
2015-08-18,0.284
2015-08-19,0.37
2015-08-20,0.284
2015-08-21,0.345
2015-08-22,0.284
2015-08-23,0.234
2015-08-24,0.49
2015-08-25,0.12
2015-08-26,0.359
2015-08-27,0.244
2015-08-28,0.284
2015-08-29,0.254
2015-08-30,0.353
2015-08-31,0.284
2015-09-01,0.229
2015-09-02,0.273
2015-09-03,0.273
2015-09-04,0.273
2015-09-05,0.176
2015-09-06,0.276
2015-09-07,0.293
2015-09-08,0.22
2015-09-09,0.273
2015-09-10,0.273
2015-09-11,0.273
2015-09-12,0.273
2015-09-13,0.373
2015-09-14,0.273
2015-09-15,0.274
2015-09-16,0.273
2015-09-17,0.187
2015-09-18,0.273
2015-09-19,0.273
2015-09-20,0.545
2015-09-21,0.273
2015-09-22,0.273
2015-09-23,0.255
2015-09-24,0.179
2015-09-25,0.273
2015-09-26,0.273
2015-09-27,0.273
2015-09-28,0.273
2015-09-29,0.273
2015-09-30,0.273
2015-10-01,0.217
2015-10-02,0.162
2015-10-03,0.149
2015-10-04,0.162
2015-10-05,0.162
2015-10-06,0.162
2015-10-07,0.162
2015-10-08,0.162
2015-10-09,0.162
2015-10-10,0.228
2015-10-11,0.162
2015-10-12,0.108
