Date,Ozone
2015-01-01,267.347
2015-01-02,264.522
2015-01-03,267.347
2015-01-04,260.7
2015-01-05,267.347
2015-01-06,258.667
2015-01-07,267.347
2015-01-08,293.011
2015-01-09,292.467
2015-01-10,267.347
2015-01-11,274.0
2015-01-12,267.347
2015-01-13,261.156
2015-01-14,267.347
2015-01-15,250.1
2015-01-16,267.347
2015-01-17,267.347
2015-01-18,271.011
2015-01-19,267.347
2015-01-20,256.489
2015-01-21,267.347
2015-01-22,269.633
2015-01-23,267.347
2015-01-24,266.6
2015-01-25,269.133
2015-01-26,267.347
2015-01-27,267.267
2015-01-28,267.347
2015-01-29,262.889
2015-01-30,267.347
2015-01-31,259.9
2015-02-01,259.911
2015-02-02,285.083
2015-02-03,268.389
2015-02-04,285.083
2015-02-05,281.878
2015-02-06,285.083
2015-02-07,301.867
2015-02-08,285.083
2015-02-09,279.533
2015-02-10,282.378
2015-02-11,285.083
2015-02-12,301.744
2015-02-13,285.083
2015-02-14,286.822
2015-02-15,285.083
2015-02-16,287.5
2015-02-17,285.083
2015-02-18,285.083
2015-02-19,290.767
2015-02-20,285.083
2015-02-21,281.867
2015-02-22,285.083
2015-02-23,280.733
2015-02-24,285.083
2015-02-25,281.067
2015-02-26,297.322
2015-02-27,285.083
2015-02-28,294.467
2015-03-01,283.198
2015-03-02,264.356
2015-03-03,283.198
2015-03-04,271.633
2015-03-05,269.8
2015-03-06,283.198
2015-03-07,271.344
2015-03-08,283.198
2015-03-09,288.933
2015-03-10,283.198
2015-03-11,309.1
2015-03-12,283.198
2015-03-13,294.667
2015-03-14,283.611
2015-03-15,283.198
2015-03-16,278.533
2015-03-17,283.198
2015-03-18,284.611
2015-03-19,283.198
2015-03-20,269.667
2015-03-21,283.198
2015-03-22,282.4
2015-03-23,289.411
2015-03-24,277.844
2015-03-25,262.133
2015-03-26,283.198
2015-03-27,318.1
2015-03-28,301.178
2015-03-29,287.6
2015-03-30,278.733
2015-03-31,280.311
2015-04-01,288.067
2015-04-02,293.0
2015-04-03,287.056
2015-04-04,288.7
2015-04-05,296.033
2015-04-06,288.4
2015-04-07,273.0
2015-04-08,281.778
2015-04-09,283.422
2015-04-10,283.989
2015-04-11,288.7
2015-04-12,283.8
2015-04-13,301.122
2015-04-14,295.7
2015-04-15,284.789
2015-04-16,278.833
2015-04-17,283.256
2015-04-18,307.3
2015-04-19,290.656
2015-04-20,288.7
2015-04-21,284.733
2015-04-22,288.7
2015-04-23,275.933
2015-04-24,283.7
2015-04-25,279.022
2015-04-26,282.089
2015-04-27,288.7
2015-04-28,311.8
2015-04-29,306.25
2015-04-30,293.767
2015-05-01,313.044
2015-05-02,312.956
2015-05-03,295.222
2015-05-04,264.757
2015-05-05,295.444
2015-05-06,295.903
2015-05-07,292.933
2015-05-08,269.444
2015-05-09,282.9
2015-05-10,293.389
2015-05-11,283.067
2015-05-12,291.422
2015-05-13,295.903
2015-05-14,290.867
2015-05-15,300.525
2015-05-16,316.622
2015-05-17,295.756
2015-05-18,295.903
2015-05-19,299.233
2015-05-20,270.086
2015-05-21,291.056
2015-05-22,295.903
2015-05-23,296.3
2015-05-24,295.903
2015-05-25,313.1
2015-05-26,305.4
2015-05-27,297.644
2015-05-28,306.333
2015-05-29,295.903
2015-05-30,316.033
2015-05-31,304.033
2015-06-01,299.189
2015-06-02,305.789
2015-06-03,308.478
2015-06-04,293.778
2015-06-05,292.014
2015-06-06,278.811
2015-06-07,288.54
2015-06-08,279.8
2015-06-09,276.6
2015-06-10,282.667
2015-06-11,285.389
2015-06-12,274.244
2015-06-13,279.433
2015-06-14,288.54
2015-06-15,284.833
2015-06-16,279.556
2015-06-17,272.433
2015-06-18,282.3
2015-06-19,282.222
2015-06-20,292.7
2015-06-21,303.967
2015-06-22,289.044
2015-06-23,288.54
2015-06-24,291.7
2015-06-25,288.54
2015-06-26,293.667
2015-06-27,298.322
2015-06-28,290.956
2015-06-29,295.611
2015-06-30,288.54
2015-07-01,284.9
2015-07-02,291.978
2015-07-03,296.644
2015-07-04,293.856
2015-07-05,293.422
2015-07-06,299.733
2015-07-07,288.4
2015-07-08,288.7
2015-07-09,292.657
2015-07-10,292.333
2015-07-11,300.556
2015-07-12,298.533
2015-07-13,297.478
2015-07-14,286.822
2015-07-15,280.556
2015-07-16,292.657
2015-07-17,296.167
2015-07-18,286.267
2015-07-19,289.733
2015-07-20,296.433
2015-07-21,286.444
2015-07-22,305.011
2015-07-23,297.667
2015-07-24,299.656
2015-07-25,292.657
2015-07-26,282.467
2015-07-27,292.657
2015-07-28,283.3
2015-07-29,292.489
2015-07-30,295.044
2015-07-31,297.144
2015-08-01,290.139
2015-08-02,298.167
2015-08-03,297.389
2015-08-04,283.922
2015-08-05,293.744
2015-08-06,280.9
2015-08-07,294.456
2015-08-08,301.567
2015-08-09,289.411
2015-08-10,290.139
2015-08-11,284.767
2015-08-12,293.078
