,Sureste2,Noreste,Noroeste,Suroeste
Cloudly,0.86,0.88,0.87,0.88
Partly cloudly,0.72,0.65,0.76,0.73
Clear sky,0.85,0.83,0.83,0.84
accuracy,0.82,0.81,0.82,0.82
