,Sureste2,Noreste,Noroeste,Suroeste
Cloudly,0.64,0.65,0.59,0.59
Partly cloudly,0.00,0.00,0.03,0.00
Clear sky,0.00,0.00,0.00,0.00
accuracy,0.47,0.48,0.42,0.42
