,Sureste2,Noreste,Noroeste,Suroeste
Cloudly,0.88,0.89,0.86,0.87
Partly cloudly,0.73,0.69,0.75,0.74
Clear sky,0.84,0.87,0.83,0.84
accuracy,0.83,0.83,0.82,0.82
