,Cloudly,Partly cloudly,Clear sky,accuracy,macro avg,weighted avg
RS ratio precision,0.9,0.36538461538461536,0.5,0.5520833333333334,0.5884615384615385,0.6602831196581197
RS ratio recall,0.5664335664335665,0.6951219512195121,0.3333333333333333,0.5520833333333334,0.5316296169954706,0.5520833333333334
RS ratio f1-score,0.6952789699570815,0.4789915966386554,0.4,0.5520833333333334,0.5247568555319123,0.5691048737091402
RS diff precision,0.9418604651162791,0.43333333333333335,0.6463414634146342,0.6458333333333334,0.6738450872880822,0.7324267084725111
RS diff recall,0.5664335664335665,0.6341463414634146,0.8412698412698413,0.6458333333333334,0.6806165830556075,0.6458333333333334
RS diff f1-score,0.7074235807860262,0.514851485148515,0.7310344827586207,0.6458333333333334,0.6511031828977206,0.6577589105846288
GHI ratio precision,0.925,0.3287671232876712,0.3870967741935484,0.5069444444444444,0.5469546324937399,0.6375729197353562
GHI ratio recall,0.5174825174825175,0.5853658536585366,0.38095238095238093,0.5069444444444444,0.4946002506978117,0.5069444444444444
GHI ratio f1-score,0.6636771300448431,0.42105263157894735,0.384,0.5069444444444444,0.4895765872079301,0.5334171714787718
GHI diff precision,0.9647058823529412,0.4700854700854701,0.5930232558139535,0.6527777777777778,0.6759382027507882,0.7425708848602716
GHI diff recall,0.5734265734265734,0.6707317073170732,0.8095238095238095,0.6527777777777778,0.6845606967558187,0.6527777777777778
GHI diff f1-score,0.7192982456140351,0.5527638190954774,0.6845637583892619,0.6527777777777778,0.6522086076995914,0.6642840245387488
