Central tendency,Nublado,Medio nublado,Despejado
count,646.0,450.0,259.0
mean,0.31751048291616785,0.5038850666546348,0.5820045952710334
std,0.1361525771712969,0.10097997229900597,0.06797034257285937
min,0.0,0.0588351851605204,0.38413153461608135
25%,0.2088705297526298,0.4240519928486943,0.5608052620670314
50%,0.32509538822878875,0.5328325166590515,0.5975735229681738
75%,0.4212340322515342,0.578317109297267,0.6254699158077646
max,0.60957961969375,0.6982545251483764,0.716485607937128
