,Cloudly,Partly cloudly,Clear sky,accuracy,macro avg,weighted avg
RS ratio precision,0.9586776859504132,0.63,0.7611940298507462,0.7986111111111112,0.7832905719337199,0.8218962950399518
RS ratio recall,0.8111888111888111,0.7682926829268293,0.8095238095238095,0.7986111111111112,0.7963351012131499,0.7986111111111112
RS ratio f1-score,0.8787878787878788,0.6923076923076923,0.7846153846153846,0.7986111111111112,0.7852369852369852,0.8050925925925926
RS diff precision,0.9663865546218487,0.6346153846153846,0.7846153846153846,0.8055555555555556,0.7952057746175393,0.8321614863894276
RS diff recall,0.8041958041958042,0.8048780487804879,0.8095238095238095,0.8055555555555556,0.8061992208333671,0.8055555555555556
RS diff f1-score,0.8778625954198472,0.7096774193548387,0.7968749999999999,0.8055555555555556,0.7948050049248954,0.8122605018476907
GHI ratio precision,0.9508196721311475,0.59,0.7272727272727273,0.7743055555555556,0.7560307998012915,0.799185399072694
GHI ratio recall,0.8111888111888111,0.7195121951219512,0.7619047619047619,0.7743055555555556,0.7642019227385081,0.7743055555555556
GHI ratio f1-score,0.8754716981132076,0.6483516483516483,0.7441860465116279,0.7743055555555556,0.7560031309921612,0.7820868365460292
GHI diff precision,0.9739130434782609,0.6132075471698113,0.7761194029850746,0.7951388888888888,0.7877466645443824,0.8279448141436652
GHI diff recall,0.7832167832167832,0.7926829268292683,0.8253968253968254,0.7951388888888888,0.800432178480959,0.7951388888888888
GHI diff f1-score,0.8682170542635659,0.6914893617021276,0.8,0.7951388888888888,0.7865688053218979,0.8029762722891125
