Central tendency,Nublado,Medio nublado,Despejado
count,646.0,450.0,259.0
mean,593.2107587851141,450.39787063305704,402.96685392308206
std,143.27415495823874,115.62434308987223,120.09441844109352
min,251.6050554730733,170.07056318563764,178.5185508702532
25%,492.83102060487704,363.0520526672783,298.80430344535404
50%,588.9185494540186,467.75171313117346,403.5496881493245
75%,691.880163047266,525.9827880166961,488.4924860878748
max,1044.9709524073576,729.733337302529,689.5307213042747
