,Cloudly,Partly cloudly,Clear sky,accuracy,macro avg,weighted avg
RS ratio precision,0.9444444444444444,0.518796992481203,0.7586206896551724,0.7291666666666666,0.7406207088602733,0.7826042096780904
RS ratio recall,0.8321678321678322,0.8414634146341463,0.3492063492063492,0.7291666666666666,0.6742791986694425,0.7291666666666666
RS ratio f1-score,0.8847583643122676,0.6418604651162791,0.47826086956521746,0.7291666666666666,0.6682932329979213,0.7266786077041592
RS diff precision,0.9333333333333333,0.496551724137931,0.8695652173913043,0.7083333333333334,0.7664834249541895,0.7950226275751012
RS diff recall,0.7832167832167832,0.8780487804878049,0.31746031746031744,0.7083333333333334,0.6595752937216351,0.7083333333333334
RS diff f1-score,0.8517110266159696,0.6343612334801761,0.46511627906976744,0.7083333333333334,0.6503961797219711,0.7052591094890744
GHI ratio precision,0.8854961832061069,0.45925925925925926,0.6818181818181818,0.6701388888888888,0.6755245414278493,0.7195824962231874
GHI ratio recall,0.8111888111888111,0.7560975609756098,0.23809523809523808,0.6701388888888888,0.6017938700865529,0.6701388888888888
GHI ratio f1-score,0.8467153284671532,0.5714285714285715,0.3529411764705882,0.6701388888888888,0.5903616921221043,0.6603219755055307
GHI diff precision,0.9487179487179487,0.5227272727272727,0.7948717948717948,0.7326388888888888,0.7554390054390053,0.7937750906500906
GHI diff recall,0.7762237762237763,0.8414634146341463,0.49206349206349204,0.7326388888888888,0.7032502276404715,0.7326388888888888
GHI diff f1-score,0.8538461538461539,0.6448598130841121,0.6078431372549019,0.7326388888888888,0.7021830347283893,0.7405299386109584
