,Cloudly,Partly cloudly,Clear sky,accuracy,macro avg,weighted avg
RS ratio precision,0.7443609022556391,0.36585365853658536,0.4794520547945205,0.5694444444444444,0.5298888718622483,0.5786426683146222
RS ratio recall,0.6923076923076923,0.36585365853658536,0.5555555555555556,0.5694444444444444,0.5379056354666111,0.5694444444444444
RS ratio f1-score,0.717391304347826,0.36585365853658536,0.5147058823529411,0.5694444444444444,0.5326502817457842,0.5729632885763001
RS diff precision,0.7226277372262774,0.4583333333333333,0.6545454545454545,0.6215277777777778,0.6118355083683551,0.6324842478925508
RS diff recall,0.6923076923076923,0.5365853658536586,0.5714285714285714,0.6215277777777778,0.6001072098633075,0.6215277777777778
RS diff f1-score,0.7071428571428572,0.49438202247191015,0.6101694915254237,0.6215277777777778,0.603898123713397,0.6253521957646768
GHI ratio precision,0.5759493670886076,0.26582278481012656,0.45098039215686275,0.46875,0.43091751468519895,0.4603124741457764
GHI ratio recall,0.6363636363636364,0.25609756097560976,0.36507936507936506,0.46875,0.4191801874728704,0.46875
GHI ratio f1-score,0.6046511627906977,0.2608695652173913,0.4035087719298246,0.46875,0.4230098333126378,0.46276900436970425
GHI diff precision,0.8016528925619835,0.46153846153846156,0.6507936507936508,0.6458333333333334,0.6379950016313652,0.6718142968142968
GHI diff recall,0.6783216783216783,0.5853658536585366,0.6507936507936508,0.6458333333333334,0.6381603942579552,0.6458333333333334
GHI diff f1-score,0.7348484848484849,0.5161290322580645,0.6507936507936508,0.6458333333333334,0.6339237226334,0.6541872013142175
