,Cloudly,Partly cloudly,Clear sky,accuracy,macro avg,weighted avg
RS ratio precision,0.9595959595959596,0.3181818181818182,0.45544554455445546,0.5868055555555556,0.5777411074440777,0.6666881965974376
RS ratio recall,0.6643356643356644,0.34146341463414637,0.7301587301587301,0.5868055555555556,0.578652603042847,0.5868055555555556
RS ratio f1-score,0.7851239669421487,0.32941176470588235,0.5609756097560975,0.5868055555555556,0.5585037804680429,0.6063401228932075
RS diff precision,0.9716981132075472,0.5316455696202531,0.5436893203883495,0.6979166666666666,0.6823443344053833,0.7527784516736321
RS diff recall,0.7202797202797203,0.5121951219512195,0.8888888888888888,0.6979166666666666,0.7071212437066096,0.6979166666666666
RS diff f1-score,0.8273092369477912,0.5217391304347826,0.6746987951807228,0.6979166666666666,0.6745823875210989,0.7069231030401801
GHI ratio precision,0.946236559139785,0.2441860465116279,0.41284403669724773,0.5347222222222222,0.5344222141162202,0.6296675627877408
GHI ratio recall,0.6153846153846154,0.25609756097560976,0.7142857142857143,0.5347222222222222,0.5285892968819798,0.5347222222222222
GHI ratio f1-score,0.7457627118644068,0.25,0.5232558139534884,0.5347222222222222,0.5063395086059651,0.5559346669294443
GHI diff precision,0.9363636363636364,0.5647058823529412,0.5483870967741935,0.7013888888888888,0.6831522051635903,0.7456745467004006
GHI diff recall,0.7202797202797203,0.5853658536585366,0.8095238095238095,0.7013888888888888,0.7050564611540221,0.7013888888888888
GHI diff f1-score,0.8142292490118578,0.5748502994011976,0.6538461538461537,0.7013888888888888,0.6809752340864031,0.7109889404579914
