Date,ozone,AOD,year,month,day
150604,293.778,0.27,2015,6,4
150605,292.014,0.288,2015,6,5
150606,278.811,0.288,2015,6,6
150607,288.54,0.825,2015,6,7
150608,279.8,0.288,2015,6,8
150609,276.6,0.505,2015,6,9
150610,282.667,0.243,2015,6,10
150611,285.389,0.207,2015,6,11
150612,274.244,0.252,2015,6,12
150613,279.433,0.299,2015,6,13
150614,288.54,0.288,2015,6,14
150615,284.833,0.288,2015,6,15
150616,279.556,0.288,2015,6,16
150617,272.433,0.288,2015,6,17
150618,282.3,0.288,2015,6,18
150619,282.222,0.288,2015,6,19
150620,292.7,0.192,2015,6,20
150621,303.967,0.288,2015,6,21
150622,289.044,0.288,2015,6,22
150623,288.54,0.288,2015,6,23
150624,291.7,0.334,2015,6,24
150625,288.54,0.288,2015,6,25
150626,293.667,0.146,2015,6,26
150627,298.322,0.288,2015,6,27
150628,290.956,0.288,2015,6,28
150629,295.611,0.246,2015,6,29
150630,288.54,0.288,2015,6,30
150701,284.9,0.282,2015,7,1
150702,291.978,0.282,2015,7,2
150703,296.644,0.282,2015,7,3
150704,293.856,0.282,2015,7,4
150705,293.422,0.328,2015,7,5
150706,299.733,0.263,2015,7,6
150707,288.4,0.303,2015,7,7
150708,288.7,0.282,2015,7,8
150709,292.657,0.908,2015,7,9
150710,292.333,0.171,2015,7,10
150711,300.556,0.374,2015,7,11
150712,298.533,0.225,2015,7,12
150713,297.478,0.177,2015,7,13
150714,286.822,0.272,2015,7,14
150715,280.556,0.123,2015,7,15
150716,292.657,0.282,2015,7,16
150717,296.167,0.164,2015,7,17
150718,286.267,0.361,2015,7,18
150719,289.733,0.112,2015,7,19
150720,296.433,0.303,2015,7,20
150721,286.444,0.292,2015,7,21
150722,305.011,0.248,2015,7,22
150723,297.667,0.288,2015,7,23
150724,299.656,0.282,2015,7,24
150725,292.657,0.309,2015,7,25
150726,282.467,0.15,2015,7,26
150727,292.657,0.282,2015,7,27
150728,283.3,0.241,2015,7,28
150729,292.489,0.217,2015,7,29
150730,295.044,0.369,2015,7,30
150731,297.144,0.282,2015,7,31
150801,290.139,0.284,2015,8,1
150802,298.167,0.125,2015,8,2
150803,297.389,0.317,2015,8,3
150804,283.922,0.244,2015,8,4
150805,293.744,0.302,2015,8,5
150806,280.9,0.212,2015,8,6
150807,294.456,0.155,2015,8,7
150808,301.567,0.282,2015,8,8
150809,289.411,0.146,2015,8,9
150810,290.139,0.376,2015,8,10
150811,284.767,0.126,2015,8,11
150812,293.078,0.599,2015,8,12
150813,283.867,0.246,2015,8,13
150814,290.511,0.339,2015,8,14
150815,280.211,0.284,2015,8,15
150816,288.044,0.284,2015,8,16
150817,290.139,0.284,2015,8,17
150818,302.167,0.284,2015,8,18
150819,302.813,0.37,2015,8,19
150820,283.067,0.284,2015,8,20
150821,291.289,0.345,2015,8,21
150822,286.722,0.284,2015,8,22
150823,297.511,0.234,2015,8,23
150824,297.633,0.49,2015,8,24
150825,286.289,0.12,2015,8,25
150826,290.139,0.359,2015,8,26
150827,282.0,0.244,2015,8,27
150828,290.139,0.284,2015,8,28
150829,285.967,0.254,2015,8,29
150830,288.889,0.353,2015,8,30
150831,279.244,0.284,2015,8,31
150901,274.667,0.229,2015,9,1
150902,271.851,0.273,2015,9,2
150903,283.533,0.273,2015,9,3
150904,278.122,0.273,2015,9,4
150905,265.444,0.176,2015,9,5
150906,266.144,0.276,2015,9,6
150907,269.722,0.293,2015,9,7
150908,276.233,0.22,2015,9,8
150909,280.667,0.273,2015,9,9
150910,274.789,0.273,2015,9,10
150911,271.851,0.273,2015,9,11
150912,274.6,0.273,2015,9,12
150913,276.367,0.373,2015,9,13
150914,272.2,0.273,2015,9,14
150915,269.289,0.274,2015,9,15
150916,261.844,0.273,2015,9,16
150917,256.3,0.187,2015,9,17
150918,271.851,0.273,2015,9,18
150919,271.133,0.273,2015,9,19
150920,273.978,0.545,2015,9,20
150921,264.889,0.273,2015,9,21
150922,273.267,0.273,2015,9,22
