------------------------------------------------------------
		Sky model: RS	Operation: ratio
------------------------------------------------------------
                precision    recall  f1-score   support

       Cloudly       0.87      0.86      0.86       112
Partly cloudly       0.70      0.58      0.64        65
     Clear sky       0.78      0.96      0.86        55

      accuracy                           0.81       232
     macro avg       0.79      0.80      0.79       232
  weighted avg       0.80      0.81      0.80       232
