------------------------------------------------------------
		Sky model: GHI	Operation: ratio
------------------------------------------------------------
                precision    recall  f1-score   support

       Cloudly       0.83      0.84      0.84       112
Partly cloudly       0.59      0.54      0.56        65
     Clear sky       0.78      0.85      0.82        55

      accuracy                           0.76       232
     macro avg       0.74      0.74      0.74       232
  weighted avg       0.75      0.76      0.76       232
