,Sureste2,Noreste,Noroeste,Suroeste
Cloudly,0.75,0.81,0.72,0.73
Partly cloudly,0.56,0.69,0.62,0.63
Clear sky,0.77,0.91,0.72,0.81
accuracy,0.69,0.79,0.68,0.71
