,Sureste2,Noreste,Noroeste,Suroeste
Cloudly,0.80,0.83,0.74,0.71
Partly cloudly,0.59,0.50,0.61,0.59
Clear sky,0.71,0.70,0.68,0.74
accuracy,0.71,0.70,0.68,0.67
