,Sureste2,Noreste,Noroeste,Suroeste
Cloudly,0.71,0.81,0.69,0.70
Partly cloudly,0.58,0.69,0.61,0.63
Clear sky,0.79,0.88,0.72,0.78
accuracy,0.68,0.79,0.67,0.69
