,Sureste2,Noreste,Noroeste,Suroeste
Cloudly,0.79,0.83,0.71,0.73
Partly cloudly,0.54,0.52,0.56,0.61
Clear sky,0.64,0.64,0.67,0.74
accuracy,0.67,0.69,0.66,0.69
