------------------------------------------------------------
		Sky model: GHI	Operation: ratio
------------------------------------------------------------
                precision    recall  f1-score   support

       Cloudly       0.89      0.86      0.87       137
Partly cloudly       0.73      0.79      0.76       111
     Clear sky       0.86      0.80      0.83        71

      accuracy                           0.82       319
     macro avg       0.83      0.82      0.82       319
  weighted avg       0.83      0.82      0.83       319
