,Sureste2,Noreste,Noroeste,Suroeste
Cloudly,0.80,0.84,0.87,0.79
Partly cloudly,0.65,0.65,0.76,0.69
Clear sky,0.82,0.81,0.78,0.78
accuracy,0.76,0.78,0.81,0.75
