,Sureste2,Noreste,Noroeste,Suroeste
Cloudly,0.73,0.85,0.75,0.73
Partly cloudly,0.52,0.62,0.64,0.63
Clear sky,0.64,0.82,0.71,0.75
accuracy,0.64,0.78,0.70,0.70
