,Sureste2,Noreste,Noroeste,Suroeste
Cloudly,0.86,0.85,0.85,0.79
Partly cloudly,0.72,0.69,0.72,0.70
Clear sky,0.84,0.83,0.81,0.82
accuracy,0.81,0.79,0.79,0.76
