,Sureste2,Noreste,Noroeste,Suroeste
Cloudly,0.76,0.83,0.76,0.75
Partly cloudly,0.54,0.63,0.63,0.64
Clear sky,0.78,0.85,0.72,0.70
accuracy,0.70,0.78,0.71,0.70
