,Sureste2,Noreste,Noroeste,Suroeste
Cloudly,0.81,0.85,0.81,0.78
Partly cloudly,0.51,0.62,0.64,0.65
Clear sky,0.73,0.79,0.72,0.81
accuracy,0.72,0.77,0.74,0.74
