,Sureste2,Noreste,Noroeste,Suroeste
Cloudly,0.86,0.89,0.87,0.88
Partly cloudly,0.67,0.62,0.76,0.73
Clear sky,0.85,0.85,0.83,0.84
accuracy,0.80,0.81,0.82,0.82
