,Sureste2,Noreste,Noroeste,Suroeste
Cloudly,0.87,0.89,0.89,0.88
Partly cloudly,0.74,0.69,0.80,0.74
Clear sky,0.86,0.86,0.84,0.84
accuracy,0.83,0.83,0.85,0.83
