,Sureste2,Noreste,Noroeste,Suroeste
Cloudly,0.86,0.87,0.85,0.84
Partly cloudly,0.62,0.66,0.71,0.64
Clear sky,0.82,0.84,0.80,0.77
accuracy,0.79,0.80,0.79,0.76
