------------------------------------------------------------
		Sky model: GHI	Operation: diff
------------------------------------------------------------
                precision    recall  f1-score   support

       Cloudly       0.42      1.00      0.59       138
Partly cloudly       0.00      0.00      0.00       107
     Clear sky       0.00      0.00      0.00        81

      accuracy                           0.42       326
     macro avg       0.14      0.33      0.20       326
  weighted avg       0.18      0.42      0.25       326
