------------------------------------------------------------
		Sky model: GHI	Operation: ratio
------------------------------------------------------------
                precision    recall  f1-score   support

       Cloudly       0.85      0.84      0.84       125
Partly cloudly       0.72      0.58      0.64        84
     Clear sky       0.73      0.95      0.82        57

      accuracy                           0.78       266
     macro avg       0.77      0.79      0.77       266
  weighted avg       0.78      0.78      0.78       266
