,Sureste2,Noreste,Noroeste,Suroeste
Cloudly,0.90,0.89,0.89,0.87
Partly cloudly,0.73,0.67,0.81,0.73
Clear sky,0.86,0.86,0.85,0.85
accuracy,0.84,0.82,0.85,0.82
