,Cloudly,Partly cloudly,Clear sky,accuracy,macro avg,weighted avg
precision,0.9655172413793104,0.6111111111111112,0.8125,0.7986111111111112,0.7963761174968073,0.8311374188484462
recall,0.7832167832167832,0.8048780487804879,0.8253968253968254,0.7986111111111112,0.8044972191313654,0.7986111111111112
f1-score,0.8648648648648648,0.6947368421052632,0.8188976377952756,0.7986111111111112,0.7928331149218012,0.8063703052410056
support,143.0,82.0,63.0,0.7986111111111112,288.0,288.0
