,Sureste2,Noreste,Noroeste,Suroeste
Cloudly,0.91,0.91,0.89,0.88
Partly cloudly,0.76,0.69,0.80,0.74
Clear sky,0.86,0.86,0.84,0.84
accuracy,0.86,0.84,0.85,0.83
