,Sureste2,Noreste,Noroeste,Suroeste
Cloudly,0.86,0.86,0.85,0.89
Partly cloudly,0.68,0.64,0.70,0.76
Clear sky,0.82,0.88,0.86,0.86
accuracy,0.80,0.81,0.81,0.84
