,Sureste2,Noreste,Noroeste,Suroeste
Cloudly,0.89,0.88,0.87,0.90
Partly cloudly,0.77,0.71,0.77,0.77
Clear sky,0.89,0.88,0.82,0.86
accuracy,0.86,0.84,0.82,0.85
