------------------------------------------------------------
		Sky model: GHI	Operation: ratio
------------------------------------------------------------
                precision    recall  f1-score   support

       Cloudly       0.81      0.85      0.83       137
Partly cloudly       0.69      0.68      0.68       111
     Clear sky       0.80      0.75      0.77        71

      accuracy                           0.76       319
     macro avg       0.77      0.76      0.76       319
  weighted avg       0.76      0.76      0.76       319
