,Sureste2,Noreste,Noroeste,Suroeste
Cloudly,0.81,0.84,0.78,0.80
Partly cloudly,0.56,0.67,0.63,0.68
Clear sky,0.73,0.88,0.71,0.76
accuracy,0.71,0.80,0.71,0.75
