,Sureste2,Noreste,Noroeste,Suroeste
Cloudly,0.83,0.83,0.80,0.82
Partly cloudly,0.66,0.55,0.67,0.66
Clear sky,0.81,0.82,0.76,0.75
accuracy,0.77,0.75,0.74,0.75
