,Sureste2,Noreste,Noroeste,Suroeste
Cloudly,0.81,0.81,0.81,0.86
Partly cloudly,0.61,0.63,0.64,0.72
Clear sky,0.81,0.88,0.72,0.79
accuracy,0.75,0.78,0.73,0.79
