,Sureste2,Noreste,Noroeste,Suroeste
Cloudly,0.84,0.87,0.84,0.79
Partly cloudly,0.68,0.69,0.70,0.70
Clear sky,0.83,0.86,0.77,0.75
accuracy,0.79,0.82,0.77,0.75
