,Sureste2,Noreste,Noroeste,Suroeste
Cloudly,0.64,0.76,0.65,0.67
Partly cloudly,0.32,0.06,0.66,0.62
Clear sky,0.00,0.75,0.44,0.66
accuracy,0.50,0.66,0.62,0.65
