,Sureste2,Noreste,Noroeste,Suroeste
Cloudly,0.88,0.89,0.84,0.82
Partly cloudly,0.67,0.71,0.62,0.56
Clear sky,0.80,0.87,0.57,0.77
accuracy,0.80,0.84,0.71,0.73
