,Sureste2,Noreste,Noroeste,Suroeste
Cloudly,0.69,0.76,0.76,0.69
Partly cloudly,0.57,0.62,0.73,0.67
Clear sky,0.60,0.69,0.70,0.73
accuracy,0.64,0.70,0.74,0.70
