,Sureste2,Noreste,Noroeste,Suroeste
Cloudly,0.83,0.88,0.84,0.80
Partly cloudly,0.59,0.64,0.66,0.64
Clear sky,0.79,0.84,0.70,0.78
accuracy,0.76,0.81,0.74,0.74
