,Cloudly,Partly cloudly,Clear sky,accuracy,macro avg,weighted avg
precision,0.9357798165137615,0.44166666666666665,0.559322033898305,0.6527777777777778,0.645589505692911,0.7127446825129437
recall,0.7132867132867133,0.6463414634146342,0.5238095238095238,0.6527777777777778,0.6278125668369571,0.6527777777777778
f1-score,0.8095238095238095,0.5247524752475248,0.5409836065573771,0.6527777777777778,0.6250866304429038,0.6696999130045713
support,143.0,82.0,63.0,0.6527777777777778,288.0,288.0
