,Sureste2,Noreste,Noroeste,Suroeste
Cloudly,0.87,0.87,0.87,0.86
Partly cloudly,0.63,0.66,0.73,0.70
Clear sky,0.82,0.84,0.79,0.85
accuracy,0.80,0.80,0.81,0.81
