,Sureste2,Noreste,Noroeste,Suroeste
Cloudly,0.86,0.91,0.87,0.85
Partly cloudly,0.67,0.70,0.69,0.68
Clear sky,0.85,0.84,0.81,0.82
accuracy,0.80,0.84,0.80,0.79
